lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
Provincia de Buenos Aires,Full-Time,58.5,48,QA / Tester,2,2,2,0,"Amazon Web Services, Azure",SQL,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Visual Studio Coded UI,"Notepad++, Visual Studio",101-200,Servicios / Consultoría de Software / Digital,31
Misiones,Full-Time,57667.07,50698.36,Developer,9,7,7,0,"Docker, Linux","CSS, HTML, Javascript, PHP, TypeScript","Angular, Bootstrap, Cordova, jQuery, Laravel, Symfony, Vue.js","MySQL, PostgreSQL",Ninguna de las anteriores,"Android Studio, PHPStorm, Visual Studio Code, Xcode",11-50,Producto basado en Software,31
Ciudad Autónoma de Buenos Aires,Full-Time,57590.36,47800,Developer,2,2,2,0,Azure,".NET, HTML, SQL, TypeScript",".NET Core, Angular",SQLite,"Postman, Visual Studio Coded UI","Visual Studio, Visual Studio Code",10001+,Servicios / Consultoría de Software / Digital,26
Córdoba,Full-Time,55mil ,43500,HelpDesk,10,0,0,0,"Amazon Web Services, Firebase",Delphi,Ninguno de los anteriores,Firebase/interbase ,Ninguna de las anteriores,Ninguno de los anteriores,101-200,Producto basado en Software,37
Mendoza,Full-Time,55921.46,45155,HelpDesk,17,13,13,0,Linux,Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,38
Santa Fe,Full-Time,55138.69,48200,HelpDesk,5,5,5,0,"Amazon Web Services, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Otras industrias,27
Ciudad Autónoma de Buenos Aires,Full-Time,55.2,49.6,Data Entry,0,0,0,0,Google Cloud Platform/App Engine,"HTML, Javascript, PHP",WordPress,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1-10,Otras industrias,23
Córdoba,Full-Time,54575.39,49742.39,Technical Leader,15,10,10,2,"Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Otras industrias,41
Ciudad Autónoma de Buenos Aires,Full-Time,53.13,44097,Designer,4,0,0,0,Ninguna de las anteriores,HTML,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,201-500,Servicios / Consultoría de Software / Digital,23
Córdoba,Full-Time,"51986,71",51986,SysAdmin / DevOps / SRE,3,3,0,0,"Azure, HP-UX, Linux, Solaris","CSS, HTML, Javascript, Python","Bootstrap, Node.js, React.js",MySQL,Ninguna de las anteriores,"Vim, Visual Studio Code",501-1000,Servicios / Consultoría de Software / Digital,31
Ciudad Autónoma de Buenos Aires,Full-Time,"51851,52",41999,QA / Tester,2,1,1,0,Linux,Ninguno de los anteriores,Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,Ninguno de los anteriores,51-100,Producto basado en Software,40
Ciudad Autónoma de Buenos Aires,Full-Time,50k ARS,50,Developer,2,1,1,2,"Amazon Web Services, Firebase, Linux",PHP,"Bootstrap, Laravel, React.js",MySQL,"PHPUnit, Postman","Android Studio, Sublime Text, Vim, Visual Studio Code",1-10,Producto basado en Software,27
Ciudad Autónoma de Buenos Aires,Full-Time,50063.25,45125,Soporte Tecnico / Backoffice,22,1,1,0,VMWare,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,51
,Full-Time,50,40000,Assistant Professor ,5,5,5,8,"Linux, Solaris, VMWare","C, Perl, PHP, Python, R, SQL",WordPress,"MySQL, Oracle",Ninguna de las anteriores,"Coda, Emacs, IPython / Jupyter, RStudio, Sublime Text, Vi",11-50,Otras industrias,35
Entre Ríos,Full-Time,49345.83,39793.66,Developer,3,3,3,1,Ninguna de las anteriores,"C#, SQL",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Visual Studio,501-1000,Otras industrias,27
Entre Ríos,Full-Time,"49259,82",44513,HelpDesk,0,0,0,0,"Linux, Windows Server","Bash/Shell, HTML",Ninguno de los anteriores,PostgreSQL,"Postman, SoapUI",Notepad++,51-100,Otras industrias,31
Santa Fe,Full-Time,49000 Pesos Argentinos,40000,Developer,0,0,2,0,Windows Server,".NET, C#, CSS, HTML, Javascript, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,Visual Studio,11-50,Servicios / Consultoría de Software / Digital,23
Ciudad Autónoma de Buenos Aires,Full-Time,49000 ars,38000,HelpDesk,1,0,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,51-100,Servicios / Consultoría de Software / Digital,23
Provincia de Buenos Aires,Full-Time,49.88,40502,Developer,3,2,2,0,Linux,"CSS, HTML, Javascript, PHP, Python","Bootstrap, Django, jQuery, React.js, Symfony","MariaDB, MySQL, Oracle",Ninguna de las anteriores,"PHPStorm, PyCharm, Sublime Text",11-50,Producto basado en Software,28
